V1,V2,weight,V4
14I,01I,2.5704,ci-in
UNJ,01I,1.9758,ci-in
UNE,01I,1.446,ci-in
X36,02Z,2.2308,co-in
27Z,02Z,2.2248,co-in
X3A,02Z,2.0472,co-in
X46,02Z,1.8942,co-in
03Z,02Z,1.812,co-in
06Z,02Z,1.9512,co-in
25Z,02Z,1.9272,co-in
21Z,02Z,1.752,co-in
08Z,02Z,1.9356,co-in
07Z,02Z,1.8246,co-in
X44,02Z,1.7082,co-in
99Z,02Z,1.6782,co-in
20Z,02Z,1.6782,co-in
ZYS,02Z,1.647,co-in
X6B,02Z,1.791,co-in
26Z,02Z,1.6752,co-in
X40,02Z,1.6482,co-in
Z67,02Z,1.7514,co-in
X42,02Z,1.6296,co-in
X02,02Z,1.6134,co-in
56Z,02Z,1.581,co-in
Z71,02Z,1.7478,co-in
04Z,02Z,1.5606,co-in
50Z,02Z,1.521,co-in
Z31,02Z,1.4994,co-in
09Z,02Z,1.5462,co-in
O1Z,02Z,1.4676,co-in
CFK,02Z,1.416,co-in
Z63,02Z,1.5,co-in
X35,02Z,1.4892,co-in
12Z,02Z,1.452,co-in
Z60,02Z,1.4298,co-in
PQA,03C,1.5606,ci-in
PQB,03C,1.4154,ci-in
4CK,03K,2.5866,co-in
1CK,03K,1.8402,co-in
N5B,03K,2.1846,co-in
11K,03K,1.5558,co-in
3RF,03K,1.4196,co-in
REB,03K,1.389,co-in
292,03K,1.5048,co-in
09K,03K,1.3956,co-in
10K,03K,1.4256,co-in
W2P,03P,2.6094,ci-in
03Q,03P,2.0982,ci-in
W2R,03P,1.9932,ci-in
W32,03P,1.6458,ci-in
42Q,03P,1.4352,ci-in
W19,03P,1.392,ci-in
W2P,03Q,2.0634,ci-in
W2R,03Q,2.0412,ci-in
42Q,03Q,1.4718,ci-in
W32,03Q,1.3986,ci-in
44,03X,2.3688,nonspecific
75H,03X,2.3406,nonspecific
3Z2,03X,2.1036,nonspecific
MT3,03X,1.6788,nonspecific
MT4,03X,1.7244,nonspecific
88Z,03X,1.6038,nonspecific
1FN,03X,1.6884,nonspecific
DF6,03X,1.389,nonspecific
900,03X,1.5216,nonspecific
FPW,03X,1.6212,nonspecific
353,03X,1.6032,nonspecific
AM7,03X,1.5378,nonspecific
2RL,03X,1.4514,nonspecific
FPU,03X,1.4046,nonspecific
AV9,03X,1.4328,nonspecific
L1X,03X,1.671,nonspecific
AQZ,03X,1.3836,nonspecific
3Z3,03X,1.6434,nonspecific
JK2,03X,1.5264,nonspecific
3Z5,03X,1.6002,nonspecific
3Z4,03X,1.5282,nonspecific
919,03X,1.4598,nonspecific
X44,03Z,2.805,co-in
26Z,03Z,2.7,co-in
20Z,03Z,2.6544,co-in
X40,03Z,2.5806,co-in
21Z,03Z,2.61,co-in
X36,03Z,2.3352,co-in
X42,03Z,2.6088,co-in
56Z,03Z,2.5662,co-in
04Z,03Z,2.4918,co-in
27Z,03Z,2.2284,co-in
99Z,03Z,2.5482,co-in
X3A,03Z,2.0466,co-in
Z67,03Z,1.9758,co-in
06Z,03Z,2.0748,co-in
25Z,03Z,2.0364,co-in
Z71,03Z,1.9674,co-in
X6B,03Z,1.9662,co-in
07Z,03Z,1.9962,co-in
X46,03Z,2.0004,co-in
08Z,03Z,1.983,co-in
ZYS,03Z,1.755,co-in
X02,03Z,1.7064,co-in
09Z,03Z,1.5318,co-in
U32,03Z,1.6794,co-in
