V1,V2,weight,V4,V5
14I,01I,2.5704,ci-in,NonSpecific
UNJ,01I,1.9758,ci-in,NonSpecific
UNE,01I,1.446,ci-in,NonSpecific
X36,02Z,2.2308,co-in,CMGC
27Z,02Z,2.2248,co-in,CMGC
X3A,02Z,2.0472,co-in,CMGC
X46,02Z,1.8942,co-in,CMGC
03Z,02Z,1.812,co-in,CMGC
06Z,02Z,1.9512,co-in,CMGC
25Z,02Z,1.9272,co-in,CMGC
21Z,02Z,1.752,co-in,CMGC
08Z,02Z,1.9356,co-in,CMGC
07Z,02Z,1.8246,co-in,CMGC
X44,02Z,1.7082,co-in,CMGC
99Z,02Z,1.6782,co-in,CMGC
20Z,02Z,1.6782,co-in,CMGC
ZYS,02Z,1.647,co-in,CMGC
X6B,02Z,1.791,co-in,CMGC
26Z,02Z,1.6752,co-in,CMGC
X40,02Z,1.6482,co-in,CMGC
Z67,02Z,1.7514,co-in,CMGC
X42,02Z,1.6296,co-in,CMGC
X02,02Z,1.6134,co-in,CMGC
56Z,02Z,1.581,co-in,CMGC
Z71,02Z,1.7478,co-in,CMGC
04Z,02Z,1.5606,co-in,CMGC
50Z,02Z,1.521,co-in,CMGC
Z31,02Z,1.4994,co-in,CMGC
09Z,02Z,1.5462,co-in,CMGC
O1Z,02Z,1.4676,co-in,CMGC
Z63,02Z,1.5,co-in,CMGC
X35,02Z,1.4892,co-in,CMGC
12Z,02Z,1.452,co-in,CMGC
PQA,03C,1.5606,ci-in,TK
4CK,03K,2.5866,co-in,CMGC
1CK,03K,1.8402,co-in,CMGC
N5B,03K,2.1846,co-in,CMGC
11K,03K,1.5558,co-in,CMGC
292,03K,1.5048,co-in,CMGC
W2P,03P,2.6094,ci-in,TK
03Q,03P,2.0982,ci-in,TK
W2R,03P,1.9932,ci-in,TK
W32,03P,1.6458,ci-in,TK
42Q,03P,1.4352,ci-in,TK
W2P,03Q,2.0634,ci-in,TK
W2R,03Q,2.0412,ci-in,TK
42Q,03Q,1.4718,ci-in,TK
44,03X,2.3688,nonspecific,TK
75H,03X,2.3406,nonspecific,TK
3Z2,03X,2.1036,nonspecific,TK
MT3,03X,1.6788,nonspecific,TK
MT4,03X,1.7244,nonspecific,TK
88Z,03X,1.6038,nonspecific,TK
1FN,03X,1.6884,nonspecific,TK
900,03X,1.5216,nonspecific,TK
FPW,03X,1.6212,nonspecific,TK
