Row.names,Class,Probability,Group,p1p1x,p2p2x,h_cgvc,ang_NHs,ang_CHs,dist_NH,dist_CH,h_scvc,DFGStatus
1A06_A,codi,0.974,,0.829126418,0.67174238,0.600557048,85.25317534,50.88562684,14.68243408,13.30677509,0.716392852,1
1A9U_A,cidi,0.898,,0.280529112,0.774139047,0.999738275,36.02519494,31.30628294,12.19371986,9.665707588,0.979963166,1
1AD5_A,codi,0.981,,0.38045153,0.802720129,0.600813969,128.9053594,76.76117367,15.55830574,11.28340816,0.502219234,1
1AGW_A,cidi,0.942,,0.324268103,0.763622403,0.943631225,37.21203657,25.59288098,10.35990334,8.355784416,0.979710668,1
1APM_E,cidi,0.999,,0.935523331,0.911929786,0.984650737,32.63155648,19.56073463,11.54399776,7.959376335,0.996127249,1
1AQ1_A,codi,0.978,,0.83581233,0.825881958,0.104410401,105.5173321,77.82654735,16.129076,13.6287632,0.129566788,1
1B38_A,codi,0.918,,0.188069999,0.380827338,0.217885662,95.54391746,68.21210755,16.23470306,12.66625118,0.087314213,1
1B39_A,codi,0.993,,0.261010438,0.511473715,0.115591939,98.89136096,67.66029144,16.43273163,12.98077488,0.023659426,1
1B6C_B,cidi,0.719,,0.91785568,0.934700012,0.797037191,36.6506738,18.32186276,11.26338291,6.658740997,0.837281537,1
1BKX_A,cidi,1,,0.930818617,0.884806275,0.954645968,39.30651854,9.200857736,11.2846117,7.644833565,0.987180196,1
1BL6_A,cidi,0.928,,0.569975197,0.752257109,0.999198449,26.59127779,26.58617415,12.04509544,9.726131439,0.98556209,1
1BL7_A,cidi,0.906,,0.423362106,0.741652906,0.997324667,36.7080104,28.63336358,11.84272671,9.918180466,0.981818689,1
1BLX_A,codi,0.884,,0.257932901,0.873820901,0.391774295,111.0830568,73.04438505,13.92469406,12.80447102,0.499342669,1
1BMK_A,cidi,0.929,,0.460850984,0.73784411,0.999903528,30.19227709,40.28263942,12.21770859,9.766523361,0.981304638,1
1BUH_A,codi,0.989,,0.241782039,0.567230523,-0.185814993,159.9101607,133.0570684,16.62208176,13.23577213,-0.145111648,1
1BX6_A,cidi,1,,0.86444062,0.911110818,0.99277006,51.06635945,19.45724779,10.99594879,7.500879288,0.999100322,1
1BYG_A,other,0.892,,-0.072196491,-0.228441089,0.443201351,175.3107085,94.58512643,16.50612259,11.33604145,0.571825204,2
1CDK_A,cidi,0.969,,0.9402017,0.870740712,0.997370938,57.19659296,23.83594576,11.53912354,7.883745193,0.999984519,1
1CKJ_A,cidi,1,,0.915508389,0.92748183,0.896313164,26.44954304,22.93008051,10.93392658,7.745623112,0.94865474,1
1CKP_A,codi,0.999,,0.225368589,0.496316254,0.256022053,140.4742929,102.7894713,16.18395996,12.68120861,0.12916743,1
1CM8_A,cidi,0.998,,0.932694376,0.894122422,0.984159809,53.33568753,17.72552195,11.48655891,7.911592007,0.996312982,1
1CMK_E,cidi,1,,0.875365376,0.920070052,0.941243019,45.6749231,12.54979325,12.48863792,7.613638878,0.971047974,1
1CSN_A,cidi,1,,0.924977005,0.923320889,0.934845283,21.46786392,22.21588489,10.77023411,7.388978958,0.964895503,1
1CTP_E,cidi,0.999,,0.929270089,0.903976858,0.929035704,32.47227492,15.69213971,12.50253296,7.793905735,0.975702631,1
1DAW_A,cidi,1,,0.928930044,0.936798513,0.995488423,29.111622,18.55267099,11.56541061,8.296481133,0.997534424,1
1DAY_A,cidi,1,,0.91954565,0.936727047,0.996539636,41.87591571,30.12057726,12.07636642,8.551357269,0.99281082,1
1DI8_A,codi,0.999,,0.375511467,0.612493813,-0.021852783,118.3963793,97.64009387,16.15176582,13.24408245,-0.03479643,1
1DI9_A,cidi,0.921,,0.765154243,0.784855962,0.986830072,14.45606737,39.24704585,11.57289505,9.599441528,0.967997379,1
1DM2_A,codi,0.972,,0.824759841,0.831397176,0.38605764,86.12351272,61.60576652,16.14281273,13.71824169,0.258055298,1
1DS5_A,cidi,0.999,,0.797831535,0.925688982,0.994123662,36.57772985,7.150776344,12.02861214,8.340379715,0.996663556,1
1E1V_A,codi,0.996,,0.20797357,0.430386513,0.235369779,128.3778545,105.3246394,16.0521431,12.56758118,0.111265286,1
1E1X_A,codi,1,,0.216278389,0.471846938,0.178382286,132.2454462,89.0271567,16.39774704,12.75469875,0.036098297,1
1E9H_A,cidi,1,,0.912654102,0.899110675,0.979967053,42.62450892,13.81859882,11.70343685,7.847045898,0.989730714,1
1ERK_A,cidi,1,,0.910354435,0.921823919,0.970158291,25.18107431,16.59085022,13.23745632,7.362958431,0.972667944,1
1F0Q_A,cidi,1,,0.836414695,0.927227497,0.989479455,45.99611778,23.58746159,11.98297787,8.333037376,0.997567322,1
1F3M_C,cidi,0.64,,0.833339334,0.824558377,0.84427582,165.5335475,100.9481083,14.35592079,12.45652008,0.925583484,1
1F5Q_A,cidi,0.999,,0.896115303,0.897328973,0.978309833,43.54648074,25.27968065,11.90231609,8.964170456,0.99842083,1
1FGI_A,cidi,0.937,,0.418479294,0.733320713,0.932245359,51.13246207,16.60271765,10.42613316,8.544687271,0.973150591,1
1FGK_A,cidi,0.91,,0.269876361,0.727581918,0.944990394,31.2792931,18.27751307,10.44684696,8.366146088,0.979831636,1
1FMO_E,cidi,1,,0.953178704,0.89811933,0.989020328,28.75580523,13.17209072,11.10696697,7.753299713,0.99430632,1
1FPU_A,cido,0.988,,-0.722439945,-0.792704701,0.961347571,60.50441855,40.17922508,11.07492256,9.834692001,0.995113278,0
1FQ1_B,cidi,0.99,,0.882865131,0.870682001,0.942033188,35.30772187,13.56045601,12.47390938,7.744974613,0.989879368,1
1FVR_A,other,0.951,,-0.151211992,-0.210352838,0.890466099,63.18071744,84.31309181,12.570611,10.6384964,0.899215973,2
1FVT_A,codi,0.997,,0.423330307,0.595096946,-0.004135887,100.9548709,85.24834263,16.16991234,13.13062954,-0.058405238,1
1FVV_A,cidi,1,,0.919491708,0.908782125,0.955294536,28.55232438,11.35664553,10.90983772,7.551617622,0.974333021,1
1GAG_A,cidi,1,,0.950060308,0.939170361,0.938271288,31.61930147,16.31767252,10.9195261,6.834794521,0.981546564,1
1GIH_A,codi,0.988,,0.78768152,0.818791747,0.01698311,109.1724973,88.40798489,15.94320869,14.2523222,-0.073188969,1
1GII_A,codi,0.997,,0.416150063,0.632247865,-0.02799271,144.596331,135.8828962,16.12186813,13.45153713,0.104815931,1
1GIJ_A,codi,0.995,,0.637840986,0.63086623,-0.094659785,146.1725119,119.1049358,16.15509605,14.13233757,-0.118513939,1
1GNG_A,cidi,1,,0.940950871,0.902195632,0.994419193,22.75172206,26.34435014,10.55139542,8.896634102,0.997978832,1
1GOL_A,cidi,1,,0.911270857,0.926584661,0.95307957,28.84081662,14.71179785,12.98415375,7.359670162,0.969695698,1
1GY3_A,cidi,0.982,,0.939379513,0.858306706,0.988120409,43.80744049,17.70095227,11.59673023,7.926937103,0.971164918,1
1GZ8_A,codi,0.994,,0.234571457,0.418333828,0.273852042,134.7310656,105.2287019,16.15322113,12.76259232,0.150054815,1
1GZK_A,cido,0.723,,-0.737041473,-0.531739235,0.811244967,67.17334332,53.41154294,11.26836109,9.343287468,0.928482793,0
1GZN_A,cido,0.794,,-0.826143026,-0.502194583,0.889457945,47.16608039,26.31776596,11.07698345,8.767866135,0.924823999,0
1GZO_A,cido,0.718,,-0.820884883,-0.560619473,0.841983647,53.82714773,32.12447368,11.49588299,9.212944031,0.879353699,0
